代码,name,筑底位,生命线,胜率,评分,强度,逻辑
605555,德昌股份,25.0%,10日,71.74%,100,极强,回踩10线+底部
002700,万憬能源,10.2%,21日,28.00%,70,极强,回踩21线+底部
002508,老板电器,24.7%,10日,34.78%,70,极强,回踩10线+底部
000707,双环科技,15.7%,12日,40.00%,70,极强,回踩12线+底部
603610,麒盛科技,81.5%,31日,71.43%,65,强,回踩31线+中继
600843,上工申贝,40.1%,12日,65.91%,65,强,回踩12线+中继
600510,黑牡丹,81.2%,29日,90.00%,65,强,回踩29线+中继
603221,爱丽家居,57.5%,11日,66.67%,65,强,回踩11线+中继
603316,诚邦股份,81.3%,35日,69.23%,65,强,回踩35线+中继
600601,方正科技,91.1%,10日,75.76%,65,强,回踩10线+中继
002197,ST证通,88.1%,11日,71.79%,65,强,回踩11线+中继
002295,精艺股份,59.5%,26日,79.17%,65,强,回踩26线+中继
601969,海南矿业,65.0%,15日,71.43%,65,强,回踩15线+中继
600749,西藏旅游,32.4%,33日,83.33%,65,强,回踩33线+底部
601696,中银证券,61.1%,23日,66.67%,65,强,回踩23线+中继
605001,威奥股份,78.8%,12日,69.23%,65,强,回踩12线+中继
603848,好太太,28.2%,17日,50.00%,35,强,回踩17线+底部
000610,西安旅游,25.0%,11日,52.08%,35,强,回踩11线+底部
002136,安 纳 达,47.8%,31日,44.44%,35,强,回踩31线+中继
002039,黔源电力,74.6%,32日,22.73%,35,强,回踩32线+中继
000729,燕京啤酒,39.9%,28日,39.13%,35,强,回踩28线+底部
600251,冠农股份,85.4%,14日,35.29%,35,强,回踩14线+中继
600279,重庆港,37.1%,10日,36.73%,35,强,回踩10线+底部
601019,山东出版,29.4%,16日,13.51%,35,强,回踩16线+底部
600123,兰花科创,11.9%,10日,25.58%,35,强,回踩10线+底部
600061,国投资本,59.7%,10日,17.07%,35,强,回踩10线+中继
600908,无锡银行,46.9%,15日,6.45%,35,强,回踩15线+中继
605155,西大门,76.4%,15日,52.94%,35,强,回踩15线+中继
002500,山西证券,52.8%,15日,21.95%,35,强,回踩15线+中继
000822,山东海化,26.5%,12日,28.57%,35,强,回踩12线+底部
600109,国金证券,62.9%,18日,29.41%,35,强,回踩18线+中继
601816,京沪高铁,5.3%,32日,0.00%,35,强,回踩32线+底部
603332,苏州龙杰,44.9%,10日,32.50%,35,强,回踩10线+中继
600906,财达证券,48.4%,10日,20.83%,35,强,回踩10线+中继
600998,九州通,71.3%,10日,17.31%,35,强,回踩10线+中继
002986,宇新股份,35.8%,15日,40.00%,35,强,回踩15线+底部
000728,国元证券,52.7%,13日,27.27%,35,强,回踩13线+中继
601083,锦江航运,47.8%,30日,5.88%,35,强,回踩30线+中继
002188,中天服务,59.6%,21日,58.33%,35,强,回踩21线+中继
002327,富安娜,7.2%,11日,0.00%,35,强,回踩11线+底部
600177,雅戈尔,17.6%,10日,7.14%,35,强,回踩10线+底部
002035,华帝股份,13.2%,10日,13.33%,35,强,回踩10线+底部
600258,首旅酒店,90.8%,10日,40.48%,35,强,回踩10线+中继
603357,设计总院,19.4%,10日,5.56%,35,强,回踩10线+底部
000937,冀中能源,15.6%,10日,9.09%,35,强,回踩10线+底部
601827,三峰环境,64.9%,10日,15.56%,35,强,回踩10线+中继
601788,光大证券,38.4%,15日,30.00%,35,强,回踩15线+底部
000978,桂林旅游,61.0%,12日,51.92%,35,强,回踩12线+中继
000650,仁和药业,49.5%,12日,17.95%,35,强,回踩12线+中继
002461,珠江啤酒,18.8%,33日,25.00%,35,强,回踩33线+底部
600742,富维股份,64.3%,23日,37.04%,35,强,回踩23线+中继
603967,中创物流,65.5%,12日,24.49%,35,强,回踩12线+中继
600299,安迪苏,10.7%,11日,11.11%,35,强,回踩11线+底部
600616,金枫酒业,26.5%,10日,26.00%,35,强,回踩10线+底部
603137,恒尚节能,62.2%,18日,31.03%,35,强,回踩18线+中继
605158,华达新材,19.2%,11日,26.92%,35,强,回踩11线+底部
601229,上海银行,47.8%,12日,29.17%,35,强,回踩12线+中继
000973,佛塑科技,80.3%,16日,57.14%,35,强,回踩16线+中继
000716,黑芝麻,26.7%,17日,35.90%,35,强,回踩17线+底部
000166,申万宏源,67.4%,15日,22.92%,35,强,回踩15线+中继
601990,南京证券,41.2%,27日,20.00%,35,强,回踩27线+中继
001366,播恩集团,58.3%,18日,38.46%,35,强,回踩18线+中继
000605,渤海股份,24.7%,10日,14.81%,35,强,回踩10线+底部
002797,第一创业,26.6%,13日,27.03%,35,强,回踩13线+底部
601390,中国中铁,30.0%,12日,11.43%,35,强,回踩12线+底部
601238,广汽集团,42.5%,35日,33.33%,35,强,回踩35线+中继
600719,大连热电,36.3%,10日,41.18%,35,强,回踩10线+底部
002267,陕天然气,9.6%,10日,33.33%,35,强,回踩10线+底部
000151,中成股份,10.9%,13日,20.00%,35,强,回踩13线+底部
002736,国信证券,60.4%,12日,51.35%,35,强,回踩12线+中继
002572,索菲亚,23.0%,11日,35.14%,35,强,回踩11线+底部
603506,南都物业,67.1%,12日,53.85%,35,强,回踩12线+中继
000888,峨眉山Ａ,30.7%,19日,53.49%,35,强,回踩19线+底部
002066,瑞泰科技,80.2%,26日,76.47%,30,标准,回踩26线+中继
603006,联明股份,53.6%,32日,62.50%,30,标准,回踩32线+中继
600730,中国高科,67.9%,30日,76.47%,30,标准,回踩30线+中继
002072,凯瑞德,81.6%,10日,69.44%,30,标准,回踩10线+中继
000905,厦门港务,71.7%,23日,68.97%,30,标准,回踩23线+中继
002121,科陆电子,70.6%,10日,62.07%,30,标准,回踩10线+中继
002636,金安国纪,78.7%,27日,72.00%,30,标准,回踩27线+中继
603886,元祖股份,61.3%,30日,83.33%,30,标准,回踩30线+中继
603042,华脉科技,72.7%,15日,60.61%,30,标准,回踩15线+中继
600958,东方证券,63.3%,11日,63.64%,30,标准,回踩11线+中继
000630,铜陵有色,87.6%,14日,70.83%,30,标准,回踩14线+中继
002348,高乐股份,72.3%,36日,70.59%,30,标准,回踩36线+中继
002062,宏润建设,57.0%,11日,90.00%,30,标准,回踩11线+中继
601677,明泰铝业,81.5%,12日,65.85%,30,标准,回踩12线+中继
603937,丽岛新材,73.8%,24日,81.82%,30,标准,回踩24线+中继
000586,汇源通信,68.7%,29日,81.25%,30,标准,回踩29线+中继
603093,南华期货,51.7%,10日,64.29%,30,标准,回踩10线+中继
600331,宏达股份,88.1%,10日,64.44%,30,标准,回踩10线+中继
002884,凌霄泵业,63.5%,29日,18.37%,0,标准,回踩29线+中继
002802,洪汇新材,38.1%,11日,18.37%,0,标准,回踩11线+底部
605336,帅丰电器,47.4%,10日,43.90%,0,标准,回踩10线+中继
002632,道明光学,64.0%,10日,41.30%,0,标准,回踩10线+中继
603318,水发燃气,58.4%,13日,27.91%,0,标准,回踩13线+中继
002968,新大正,69.9%,10日,44.64%,0,标准,回踩10线+中继
002825,纳尔股份,71.8%,25日,29.63%,0,标准,回踩25线+中继
002671,龙泉股份,68.7%,11日,43.48%,0,标准,回踩11线+中继
000885,城发环境,51.3%,10日,20.45%,0,标准,回踩10线+中继
002883,中设股份,31.9%,10日,9.30%,0,标准,回踩10线+底部
600235,民丰特纸,70.8%,25日,43.24%,0,标准,回踩25线+中继
002698,博实股份,35.7%,10日,47.92%,0,标准,回踩10线+底部
002637,赞宇科技,57.2%,10日,50.00%,0,标准,回踩10线+中继
000928,中钢国际,59.5%,10日,25.53%,0,标准,回踩10线+中继
000702,正虹科技,33.1%,10日,28.57%,0,标准,回踩10线+底部
000899,赣能股份,66.1%,15日,43.24%,0,标准,回踩15线+中继
600744,华银电力,51.2%,33日,53.33%,0,标准,回踩33线+中继
600713,南京医药,85.1%,10日,25.00%,0,标准,回踩10线+中继
000589,贵州轮胎,79.5%,11日,28.95%,0,标准,回踩11线+中继
002474,榕基软件,61.3%,37日,47.83%,0,标准,回踩37线+中继
600644,乐山电力,38.0%,25日,42.86%,0,标准,回踩25线+底部
000783,长江证券,82.0%,10日,54.55%,0,标准,回踩10线+中继
000708,中信特钢,86.9%,17日,48.28%,0,标准,回踩17线+中继
002858,力盛体育,86.2%,11日,45.24%,0,标准,回踩11线+中继
603041,美思德,40.4%,10日,30.43%,0,标准,回踩10线+中继
000059,华锦股份,78.8%,10日,29.27%,0,标准,回踩10线+中继
603158,腾龙股份,38.4%,17日,46.15%,0,标准,回踩17线+底部
002033,丽江股份,52.0%,10日,36.36%,0,标准,回踩10线+中继
600019,宝钢股份,61.3%,16日,48.28%,0,标准,回踩16线+中继
002614,奥佳华,65.0%,40日,45.83%,0,标准,回踩40线+中继
002552,宝鼎科技,84.6%,10日,58.54%,0,标准,回踩10线+中继
001239,永达股份,48.1%,37日,45.45%,0,标准,回踩37线+中继
601111,中国国航,82.8%,11日,45.24%,0,标准,回踩11线+中继
600470,六国化工,50.4%,13日,50.00%,0,标准,回踩13线+中继
603386,骏亚科技,65.4%,29日,42.86%,0,标准,回踩29线+中继
603071,物产环能,65.3%,11日,21.28%,0,标准,回踩11线+中继
000685,中山公用,61.7%,35日,41.67%,0,标准,回踩35线+中继
000862,银星能源,63.9%,11日,43.75%,0,标准,回踩11线+中继
002561,徐家汇,69.3%,26日,45.16%,0,标准,回踩26线+中继
000619,海螺新材,39.8%,16日,46.88%,0,标准,回踩16线+底部
600388,龙净环保,80.4%,18日,55.56%,0,标准,回踩18线+中继
603327,福蓉科技,42.4%,36日,30.00%,0,标准,回踩36线+中继
002022,科华生物,36.4%,10日,50.00%,0,标准,回踩10线+底部
002999,天禾股份,66.1%,17日,9.09%,0,标准,回踩17线+中继
601901,方正证券,48.5%,14日,26.00%,0,标准,回踩14线+中继
000990,诚志股份,95.3%,10日,33.33%,0,标准,回踩10线+中继
603836,海程邦达,46.9%,18日,26.47%,0,标准,回踩18线+中继
002643,万润股份,91.9%,10日,53.66%,0,标准,回踩10线+中继
605151,西上海,55.8%,11日,40.38%,0,标准,回踩11线+中继
001236,弘业期货,36.6%,10日,58.06%,0,标准,回踩10线+底部
603378,亚士创能,34.4%,10日,27.50%,0,标准,回踩10线+底部
603155,新亚强,71.1%,34日,44.44%,0,标准,回踩34线+中继
601339,百隆东方,97.4%,10日,34.09%,0,标准,回踩10线+中继
000570,苏常柴Ａ,47.3%,11日,12.24%,0,标准,回踩11线+中继
603387,基蛋生物,68.4%,24日,36.00%,0,标准,回踩24线+中继
600350,山东高速,33.5%,38日,33.33%,0,标准,回踩38线+底部
603586,金麒麟,61.3%,10日,36.67%,0,标准,回踩10线+中继
603027,千禾味业,32.7%,12日,50.00%,0,标准,回踩12线+底部
000411,英特集团,87.0%,11日,22.92%,0,标准,回踩11线+中继
002800,天顺股份,69.1%,10日,42.42%,0,标准,回踩10线+中继
002606,大连电瓷,62.4%,10日,33.33%,0,标准,回踩10线+中继
603677,奇精机械,33.0%,12日,24.44%,0,标准,回踩12线+底部
603585,苏利股份,64.9%,10日,27.91%,0,标准,回踩10线+中继
601065,江盐集团,43.3%,13日,22.81%,0,标准,回踩13线+中继
600780,通宝能源,55.7%,10日,14.63%,0,标准,回踩10线+中继
002170,芭田股份,80.4%,22日,58.33%,0,标准,回踩22线+中继
002615,哈尔斯,33.6%,16日,28.57%,0,标准,回踩16线+底部
600874,创业环保,48.7%,22日,14.29%,0,标准,回踩22线+中继
600671,天目药业,72.4%,12日,58.70%,0,标准,回踩12线+中继
600897,厦门空港,43.2%,40日,32.43%,0,标准,回踩40线+中继
603178,圣龙股份,45.0%,11日,50.00%,0,标准,回踩11线+中继
000686,东北证券,65.9%,11日,56.41%,0,标准,回踩11线+中继
603599,广信股份,58.0%,11日,42.22%,0,标准,回踩11线+中继
600873,梅花生物,41.8%,27日,23.08%,0,标准,回踩27线+中继
600546,山煤国际,57.5%,10日,36.11%,0,标准,回踩10线+中继
000828,东莞控股,49.2%,10日,19.57%,0,标准,回踩10线+中继
002319,乐通股份,66.6%,12日,47.50%,0,标准,回踩12线+中继
600526,菲达环保,72.6%,14日,34.04%,0,标准,回踩14线+中继
600054,黄山旅游,33.6%,31日,22.50%,0,标准,回踩31线+底部
600210,紫江企业,71.1%,10日,24.39%,0,标准,回踩10线+中继
605018,长华集团,49.6%,30日,48.28%,0,标准,回踩30线+中继
601077,渝农商行,46.5%,12日,32.26%,0,标准,回踩12线+中继
600305,恒顺醋业,57.9%,28日,19.44%,0,标准,回踩28线+中继
605567,春雪食品,79.5%,15日,43.24%,0,标准,回踩15线+中继
002299,圣农发展,67.5%,10日,37.93%,0,标准,回踩10线+中继
002833,弘亚数控,40.5%,10日,20.93%,0,标准,回踩10线+中继
603165,荣晟环保,38.7%,25日,29.63%,0,标准,回踩25线+底部
600970,中材国际,90.6%,20日,33.33%,0,标准,回踩20线+中继
601939,建设银行,48.7%,16日,20.00%,0,标准,回踩16线+中继
000544,中原环保,48.1%,11日,12.28%,0,标准,回踩11线+中继
002483,润邦股份,70.2%,13日,34.21%,0,标准,回踩13线+中继
603648,畅联股份,53.7%,10日,38.78%,0,标准,回踩10线+中继
603233,大参林,75.5%,10日,26.67%,0,标准,回踩10线+中继
002910,庄园牧场,52.9%,23日,48.39%,0,标准,回踩23线+中继
002631,德尔未来,75.4%,17日,41.67%,0,标准,回踩17线+中继
603518,锦泓集团,38.0%,34日,57.89%,0,标准,回踩34线+底部
600820,隧道股份,33.1%,14日,29.63%,0,标准,回踩14线+底部
600731,湖南海利,47.0%,16日,38.71%,0,标准,回踩16线+中继
603885,吉祥航空,88.2%,15日,51.22%,0,标准,回踩15线+中继
601921,浙版传媒,31.6%,10日,12.77%,0,标准,回踩10线+底部
002412,汉森制药,70.2%,17日,51.35%,0,标准,回踩17线+中继
