代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
603050,科林电气,18.14,-0.87%,强,77.78%,轻仓试错,"缩量回踩35日支撑,历史触发9次"
600732,爱旭股份,13.69,-0.8%,强,90.00%,轻仓试错,"缩量回踩12日支撑,历史触发30次"
002676,顺威股份,8.48,1.44%,强,61.54%,轻仓试错,"缩量回踩12日支撑,历史触发26次"
000801,四川九洲,17.5,1.8%,强,67.44%,轻仓试错,"缩量回踩13日支撑,历史触发43次"
000422,湖北宜化,15.0,1.42%,强,82.61%,轻仓试错,"缩量回踩15日支撑,历史触发23次"
000035,中国天楹,5.73,-0.87%,强,61.29%,轻仓试错,"缩量回踩11日支撑,历史触发31次"
603212,赛伍技术,14.31,-0.35%,极强 (一击必中),83.33%,分批建仓,"缩量回踩29日支撑,历史触发12次"
002383,合众思壮,12.94,-5.2%,极强 (一击必中),72.00%,分批建仓,"缩量回踩16日支撑,历史触发25次"
600860,京城股份,12.57,-0.95%,强,68.42%,轻仓试错,"缩量回踩38日支撑,历史触发19次"
600110,诺德股份,7.39,0.0%,强,81.48%,轻仓试错,"缩量回踩12日支撑,历史触发27次"
002448,中原内配,12.82,0.39%,强,89.47%,轻仓试错,"缩量回踩20日支撑,历史触发19次"
000061,农 产 品,9.94,1.43%,强,76.19%,轻仓试错,"缩量回踩16日支撑,历史触发21次"
002701,奥瑞金,5.9,-0.67%,极强 (一击必中),66.67%,分批建仓,"缩量回踩40日支撑,历史触发18次"
002249,大洋电机,10.84,0.0%,强,61.11%,轻仓试错,"缩量回踩12日支撑,历史触发18次"
600744,华银电力,6.18,-0.32%,强,64.29%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
000425,徐工机械,11.06,-2.38%,强,100.00%,轻仓试错,"缩量回踩30日支撑,历史触发7次"
600302,标准股份,10.69,1.81%,强,73.91%,轻仓试错,"缩量回踩17日支撑,历史触发23次"
601699,潞安环能,12.64,-2.09%,强,72.00%,轻仓试错,"缩量回踩11日支撑,历史触发25次"
600859,王府井,15.57,0.32%,强,67.39%,轻仓试错,"缩量回踩10日支撑,历史触发46次"
002836,新宏泽,15.58,0.13%,极强 (一击必中),100.00%,分批建仓,"缩量回踩34日支撑,历史触发9次"
603222,济民健康,9.76,0.31%,强,75.00%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
600577,精达股份,14.03,-4.04%,强,81.25%,轻仓试错,"缩量回踩10日支撑,历史触发32次"
002939,长城证券,10.32,-0.77%,强,66.67%,轻仓试错,"缩量回踩35日支撑,历史触发9次"
605055,迎丰股份,9.72,-2.51%,强,90.91%,轻仓试错,"缩量回踩30日支撑,历史触发11次"
603638,艾迪精密,19.24,-1.94%,强,65.38%,轻仓试错,"缩量回踩19日支撑,历史触发26次"
603928,兴业股份,17.06,-0.58%,极强 (一击必中),73.33%,分批建仓,"缩量回踩40日支撑,历史触发15次"
002370,亚太药业,7.51,-0.27%,强,73.91%,轻仓试错,"缩量回踩10日支撑,历史触发23次"
603316,诚邦股份,15.22,-4.04%,强,68.57%,轻仓试错,"缩量回踩10日支撑,历史触发35次"
002562,兄弟科技,6.71,-0.74%,强,63.64%,轻仓试错,"缩量回踩16日支撑,历史触发11次"
600203,福日电子,13.55,1.57%,强,76.47%,轻仓试错,"缩量回踩18日支撑,历史触发17次"
000823,超声电子,14.08,0.5%,强,64.52%,轻仓试错,"缩量回踩12日支撑,历史触发31次"
002600,领益智造,16.33,-3.37%,强,90.00%,轻仓试错,"缩量回踩12日支撑,历史触发20次"
002686,亿利达,6.69,-0.45%,强,72.73%,轻仓试错,"缩量回踩35日支撑,历史触发11次"
002276,万马股份,16.82,-1.23%,强,60.71%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
603871,嘉友国际,13.96,0.14%,强,62.50%,轻仓试错,"缩量回踩10日支撑,历史触发40次"
002826,易明医药,18.77,0.27%,强,61.54%,轻仓试错,"缩量回踩14日支撑,历史触发26次"
002348,高乐股份,6.08,1.5%,强,91.67%,轻仓试错,"缩量回踩36日支撑,历史触发12次"
002559,亚威股份,10.39,0.29%,强,69.23%,轻仓试错,"缩量回踩18日支撑,历史触发26次"
605001,威奥股份,7.76,-0.51%,强,65.52%,轻仓试错,"缩量回踩12日支撑,历史触发29次"
600933,爱柯迪,19.57,-1.86%,强,76.47%,轻仓试错,"缩量回踩25日支撑,历史触发17次"
000410,沈阳机床,7.59,-0.65%,强,60.00%,轻仓试错,"缩量回踩10日支撑,历史触发45次"
603399,永杉锂业,11.25,-2.0%,强,60.00%,轻仓试错,"缩量回踩19日支撑,历史触发20次"
600522,中天科技,18.06,0.44%,强,71.43%,轻仓试错,"缩量回踩33日支撑,历史触发14次"
002204,大连重工,7.62,-1.3%,极强 (一击必中),62.50%,分批建仓,"缩量回踩14日支撑,历史触发32次"
002077,大港股份,15.55,1.11%,强,70.59%,轻仓试错,"缩量回踩10日支撑,历史触发51次"
002170,芭田股份,12.19,-0.08%,强,63.64%,轻仓试错,"缩量回踩22日支撑,历史触发33次"
600330,天通股份,12.88,-3.52%,强,85.71%,轻仓试错,"缩量回踩22日支撑,历史触发7次"
603093,南华期货,19.77,1.18%,强,63.33%,轻仓试错,"缩量回踩10日支撑,历史触发30次"
601377,兴业证券,7.14,-0.56%,强,90.00%,轻仓试错,"缩量回踩37日支撑,历史触发10次"
002225,濮耐股份,6.02,1.86%,强,61.11%,轻仓试错,"缩量回踩17日支撑,历史触发18次"
003037,三和管桩,8.05,-0.25%,极强 (一击必中),64.71%,分批建仓,"缩量回踩15日支撑,历史触发17次"
603680,今创集团,16.24,-2.75%,强,68.75%,轻仓试错,"缩量回踩15日支撑,历史触发16次"
000821,京山轻机,13.74,-1.58%,极强 (一击必中),66.67%,分批建仓,"缩量回踩22日支撑,历史触发15次"
002579,中京电子,12.18,0.74%,极强 (一击必中),66.67%,分批建仓,"缩量回踩14日支撑,历史触发36次"
601068,中铝国际,5.8,-2.19%,强,61.54%,轻仓试错,"缩量回踩14日支撑,历史触发26次"
603679,华体科技,17.27,-1.03%,极强 (一击必中),72.73%,分批建仓,"缩量回踩10日支撑,历史触发33次"
000592,平潭发展,15.48,0.45%,强,91.67%,轻仓试错,"缩量回踩25日支撑,历史触发12次"
000759,中百集团,7.88,-0.63%,极强 (一击必中),69.57%,分批建仓,"缩量回踩29日支撑,历史触发23次"
601059,信达证券,17.84,0.11%,强,68.00%,轻仓试错,"缩量回踩21日支撑,历史触发25次"
603536,惠发食品,11.33,-0.61%,强,74.07%,轻仓试错,"缩量回踩10日支撑,历史触发27次"
605138,盛泰集团,7.07,-0.42%,强,64.00%,轻仓试错,"缩量回踩18日支撑,历史触发25次"
600151,航天机电,18.83,-8.19%,强,63.64%,轻仓试错,"缩量回踩22日支撑,历史触发22次"
002811,郑中设计,16.08,0.94%,强,65.22%,轻仓试错,"缩量回踩11日支撑,历史触发23次"
603177,德创环保,11.7,-0.51%,强,61.70%,轻仓试错,"缩量回踩10日支撑,历史触发47次"
002584,西陇科学,9.29,1.09%,强,81.25%,轻仓试错,"缩量回踩40日支撑,历史触发16次"
603915,国茂股份,17.63,-1.73%,强,66.67%,轻仓试错,"缩量回踩34日支撑,历史触发18次"
600846,同济科技,13.73,-1.79%,强,74.19%,轻仓试错,"缩量回踩12日支撑,历史触发31次"
600596,新安股份,12.16,0.66%,极强 (一击必中),62.50%,分批建仓,"缩量回踩10日支撑,历史触发40次"
002215,诺 普 信,11.19,0.99%,强,85.00%,轻仓试错,"缩量回踩12日支撑,历史触发20次"
002575,群兴玩具,6.66,1.99%,强,90.91%,轻仓试错,"缩量回踩35日支撑,历史触发11次"
601696,中银证券,14.8,1.23%,强,62.50%,轻仓试错,"缩量回踩23日支撑,历史触发8次"
600250,南京商旅,12.0,1.87%,强,75.86%,轻仓试错,"缩量回踩13日支撑,历史触发29次"
605388,均瑶健康,7.62,1.46%,强,66.67%,轻仓试错,"缩量回踩10日支撑,历史触发30次"
